************* Module main
main.py:139: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:140: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:142: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:143: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:145: [C0301(line-too-long), ] Line too long (115/100)
main.py:145: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:146: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:147: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:148: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:149: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:150: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:151: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:152: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:154: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:155: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:156: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:157: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:158: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:159: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:160: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:161: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:162: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:163: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:164: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:165: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:167: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:168: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:169: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:171: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:172: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:173: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:175: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:176: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:177: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:179: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:180: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:181: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:183: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:184: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:185: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:186: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:187: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:188: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:190: [W0311(bad-indentation), ] Bad indentation. Found 3 spaces, expected 12
main.py:191: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:192: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:193: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:193: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:194: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:195: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:196: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:197: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:197: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:198: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:199: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:200: [W0311(bad-indentation), ] Bad indentation. Found 4 spaces, expected 16
main.py:201: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:202: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:202: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:203: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:204: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:206: [C0301(line-too-long), ] Line too long (137/100)
main.py:206: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:207: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:208: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:210: [C0301(line-too-long), ] Line too long (139/100)
main.py:210: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:211: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:212: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:214: [C0301(line-too-long), ] Line too long (133/100)
main.py:214: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:215: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:216: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:217: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:220: [C0301(line-too-long), ] Line too long (130/100)
main.py:225: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:226: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:227: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:228: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:229: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:230: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:232: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:233: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:234: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:236: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:237: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:238: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:240: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:241: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:242: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:244: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:245: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:246: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:247: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:249: [C0301(line-too-long), ] Line too long (118/100)
main.py:249: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:250: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:251: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:253: [W0311(bad-indentation), ] Bad indentation. Found 1 spaces, expected 4
main.py:254: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:255: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:255: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:256: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:258: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:259: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:260: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:262: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:263: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:264: [C0303(trailing-whitespace), ] Trailing whitespace
main.py:267: [W0311(bad-indentation), ] Bad indentation. Found 2 spaces, expected 8
main.py:268: [C0301(line-too-long), ] Line too long (104/100)
